category,consumer,cost_type,creation_time,modification_time,rule,tag
"[10000,10001]",3,1,2021-12-06T06:20:21.000Z,2022-05-01T03:20:29.000Z,亲情卡|豆腐|猪肉|蔬菜|野山椒|王守义|土豆粉|东北大米|孙明美|味为天|生鲜批发|虾米|锦尚生鲜|毛阿子|叶慧琴菜店|正宗散养土鸡|任氏海鲜|沅陵民富土鸡店|陈玉平肉铺|莲藕,1
"[10000,10004]",,3,2021-12-06T06:20:21.000Z,2022-12-03T02:52:21.000Z,臭豆腐|一只酸奶牛|搜农坊|美团|1点点|便利店|星巴克|良品铺子|如尚饮品|胖子饿了|啤酒|唛咭食品|饮品|冰淇淋|饿了么|麻辣烫|火鸡面|劲仔小鱼|泡面|糯米果|绝味鸭脖|过桥米线|黑白电视|食品商店|Lawson|几个果子|食品店|冰棒批发|湘西姑娘|千惠|每日坚果孕|周黑鸭|coffee|李萍|瓦罗兰大陆伏尔加沿岸|蜜雪冰城|茶百道|美宜家|汇米巴|书亦烧仙草|良果芭|新宜佳|美宜家|辉辉小卖部|深圳市丰宜科技有限公司|奈雪的茶|古茗|果呀呀|罗森尼娜| 墨茉点心局|正新炸鸡|仟吉|DQ,2
"[10000,10003]",3,1,2021-12-06T06:20:21.000Z,2022-01-02T08:14:04.000Z,水果|欧阳春香|小蜜蜂鲜果|果林鲜森|乐优鲜果|百果香|花姑娘|刘月英,1
"[10000,10005]",null,1,2021-12-06T06:20:21.000Z,2023-02-01T12:51:10.000Z,王姐粉面店|北方烤饼|小镇来客手工面粉|常德米粉|粉店|粉铺|粉馆|里手馄饨|土家酱香饼|早点|肉夹馍|津市牛肉粉|老姐休闲餐吧创谷店|自选快餐|毛市佬创谷店|兰州拉面|猪脚饭|包子铺|罗义德长沙谷苑路店|膳当家黄焖鸡|金牌隆江猪脚饭|香他她煲仔|德天顺盖码饭|烧腊|东北人饺子|膳当家|马里奥饼店|江湖杀猪粉|吃饭就来|阴洪梅饺子馆|刘长和麓谷信息|袁记云饺|莫先生|蒸菜|三津汤包|兰州拉面|饺子馆|大米先生|老爸到了|廖可|老粉匠荣盛店|五谷杂粮粥|纯蒸时代,1
"[20000,20006]",,1,2021-12-06T06:20:21.000Z,,美容美发,3
"[10000,10002]",3,1,2021-12-06T06:20:21.000Z,2021-12-11T15:04:42.000Z,沃尔玛|超市|麦德龙|家润多|山姆会员商店|盒马,1
"[10000,10006]",3,3,2021-12-06T06:20:21.000Z,2022-01-02T08:19:46.000Z,肯德基|湘高记海鲜|海底捞|诚食家厨|麦当劳|鲜芋仙|餐馆|东北饺子馆|必胜客|夏日玛莉|炊烟小炒黄牛肉,2
"[20000,20007]",,1,2021-12-06T06:20:21.000Z,2021-12-10T05:16:41.000Z,话费|手机充值|中国移动,3
"[60000,60003]",3,1,2021-12-06T06:20:21.000Z,2021-12-12T06:59:02.000Z,牛晓红|牛柏红|大姨,3
"[50000,50007]",3,3,2021-12-06T06:20:21.000Z,,尿不湿,2
