account_type,amount,category,consumer,cost_type,creation_time,description,flow_type,modification_time,payment_type,tag,trans_time
2,16,"[10000,10004]",3,3,2021-12-15T07:14:07.000Z,"益阳伍阿姨麻辣烫,收钱码收款",1,2023-04-16T08:35:44.631Z,1,2,2021-11-30T11:46:15.000Z
2,12,"[10000,10004]",3,3,2021-12-15T07:14:07.000Z,"苏食记麻辣烫,收钱码收款",1,2023-04-16T08:35:44.631Z,1,2,2021-11-30T11:34:16.000Z
2,2.8,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:49:19.000Z
2,15,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:46:15.000Z
2,9.8,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:38:17.000Z
2,1,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:36:11.000Z
2,4,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:35:14.000Z
2,9,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:34:19.000Z
2,7,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:30:32.000Z
2,30,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:29:14.000Z
2,4.4,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:27:57.000Z
2,7.9,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:26:22.000Z
2,1.4,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:25:04.000Z
2,11,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:21:46.000Z
2,15,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:19:25.000Z
2,16.7,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:15:24.000Z
2,44,"[10000,10001]",3,1,2021-12-15T07:14:07.000Z,"Jackfrank,亲情卡",1,2023-04-16T08:35:44.631Z,1,1,2021-11-30T01:13:05.000Z
2,73,"[90000,90001]",2,2,2021-12-15T07:14:07.000Z,"拼多多平台商户,商户单号XP1521112922501710698260000730",1,2023-04-16T08:35:44.631Z,1,2,2021-11-29T14:34:30.000Z
2,60.7,"[10000,10004]",3,3,2021-12-15T07:14:07.000Z,"饿了么,周黑鸭(长沙凯德壹中心店)外卖订单",1,2023-04-16T08:35:44.631Z,1,2,2021-11-29T11:44:33.000Z
