订单号,下单时间,订单总价,订单状态,商品名称
310902530727,2025-02-28 18:57:35,329.90,等待收货,迪卡侬双肩背包NH500登山徒步骑行旅行电脑通勤出差书包学生城市轻户外 曜石黑-32L 背负舒适 方便实用
310092659703,2025-02-27 21:06:09,64.35,已完成,英发（YINGFA）助泳板训练浮板成人儿童A字三角板初学者练习游泳装备打水板 黑色
310619423215,2025-02-24 09:51:27,140.60,已完成,小熊（Bear）面包机 多士炉 烤面包机 三明治机早餐自动家用小型烤吐司机馒头神器 DSL-C02M6丨6挡烘烤
309454597372,2025-02-06 19:24:50,12.90,已完成,品胜 适用亚马逊kindle数据线加长充电线paperwhite2/3/4电子书充电器 黑色0.8米充电数据线【标准接口】
308979652052,2025-01-23 16:48:10,33.69,已完成,梦想可嘉【国风款】适用苹果12手机壳 iphone12保护套全包超薄皮纹防摔软壳新年创意国潮男女款 中国红
309284588076,2025-01-23 16:34:10,21.34,已完成,舒客宝贝儿童牙膏套装含氟防蛀固齿护齿2-6-12岁60g草莓味3支
309039189729,2025-01-18 17:57:26,29.73,已完成,绿联（UGREEN） USB3.0分线器扩展坞 高速4口集线器HUB拓展坞 笔记本电脑一拖多转换器转接头延长线 Type-C供电
308732596108,2025-01-14 10:18:53,88.64,已完成,米家小米烧水壶电热水壶煮水壶家用 食品级304不锈钢 1800W快速加热 自动断电 1.7升大容量 2
301315336592,2024-12-27 17:02:44,14.98,已完成,闪克（Sudotack） 麦克风话筒双层防喷网录音专用u型金属防喷罩主播电容麦防风罩 防喷罩
307718474246,2024-12-25 09:35:12,157.39,已完成,闪克（Sudotack） 麦克风电脑手机笔记本录音专业电容音直播配音网课游戏会话筒设备闪客主播啵啵麦 461S悬臂支架+录音直播+可调增益
300839479057,2024-12-15 17:20:58,19.40,已完成,卡帕（Kappa）儿童泳帽男PU帽防水加大不勒头专业游泳装备蓝色
306701304109,2024-12-08 11:04:52,451.39,已完成,苏泊尔（SUPOR）防爆高压锅304不锈钢巧易开7.2L压力锅22cm燃气电磁炉通用 带蒸格
306525209736,2024-12-02 21:16:23,214.10,已完成,松下（Panasonic）家用高速电吹风机大功率速干负离子低噪便携温控护发吹风筒三八女神节女生礼物NE6L小森林绿色
299500840977,2024-11-07 11:20:30,148.26,已完成,HIKVISION海康威视电脑摄像头2K高清直播带麦克风自动对焦台式机笔记本电脑外接家用视频会议办公带货E14a
304513289965,2024-10-30 11:41:54,29.60,已完成,迪卡侬（DECATHLON）游泳运动二合一去氯清新舒爽-洗发沐浴露250克-4639100
301565705668,2024-09-26 15:08:47,9.85,已完成,凯迪克图书 I am a bunny 我是一只兔子 点读版 自然认知 文学熏陶 审美培养 0-5岁 金色童书
301061331009,2024-09-16 21:49:47,185.83,已完成,雷士（NVC）AAAAA健康减蓝光护眼学习读写家用台灯感光带小夜灯和定时暮染Pro
296819423187,2024-09-14 10:08:14,19.70,已完成,迪卡侬初学家用健身弹力带瑜伽带男女拉伸带 DOMYOS 2721020 均码
300503906537,2024-09-05 10:17:36,,,
300503425735,2024-09-05 10:17:15,22.50,已完成,绿联（UGREEN）车载充电器点烟器超级快充转换器插头适用苹果15华为/小米一拖二
299966164299,2024-08-24 10:09:22,137.61,已完成,Wilson威尔胜ICON系列宇宙星空室内外通用青少年儿童用球5号篮球
299957482178,2024-08-24 10:09:22,0.00,已完成,Wilson威尔胜运动配件篮球赠品-打气筒+气针（赠品不做销售）送完为止
299904978797,2024-08-24 10:09:22,0.00,已完成,Wilson威尔胜运动配件篮球赠品-抽绳袋（赠品不做销售）送完为止
296030992287,2024-08-22 17:56:56,246.91,已完成,拜尔（BAIR） M3电动冲牙器家用便携式 清洁口腔洗牙器水牙线冲洗器洁牙器牙套清洗 送男女朋友礼物 M3Plus 300ml大水箱 白色 5支喷头
295634553023,2024-08-08 09:58:12,1769.79,已完成,方太（FOTILE）天然气煤气灶家用嵌入式双灶 5.2kW*大火力可调节底盘换装灶02-TH27B 国家补贴20%
295443718264,2024-07-30 17:08:09,30.50,已完成,NatureHike挪客手机防水袋 可触屏挂脖游泳泡温泉漂流潜水密封带气囊防水包 拿坡里黄（均码）
295431524921,2024-07-30 17:07:04,28.42,已完成,NatureHike挪客手机防水袋 可触屏挂脖游泳泡温泉漂流潜水密封带气囊防水包 马尔斯绿（均码）
294844149082,2024-07-07 09:54:16,49.15,已完成,京严选冰块模具冰格制作器食品级制冰盒按压冰盒储存盒自制冻冰块神器 【配冰铲】双层48格抽拉式冰桶 自动脱冰+便携手提制冰器
294669920209,2024-06-29 13:17:09,0.00,已完成,京东养车京东养车服务
297679418340,2024-06-24 22:38:40,30.91,已完成,奥克斯（AUX）电蚊拍充电式灭蚊拍家用升级锂电池驱蚊打蚊子紫光诱蚊打苍蝇神器
297650636102,2024-06-24 10:18:41,994.01,已完成,JBL Soundgear sense音悦圈开放式无线蓝牙耳机骨传导升级空气传导运动跑步挂耳式苹果华为小米适用黑
297581384271,2024-06-24 10:18:41,0.00,已完成,JBL 耳机赠品 银河之翼水杯
297525520460,2024-06-22 16:14:12,19.80,已完成,BERLIOZ柏辽兹吉他拨片民谣电贝斯电吉他速弹扫弦防滑加厚盒装学生pick 混合装3片（0.46/1.0/1.5mm）
297515137632,2024-06-20 21:38:48,503.73,已完成,飞利浦（PHILIPS）led吸顶灯客厅灯北欧现代简约超薄墙壁三色可调灯具灯饰108W品逸
297525158216,2024-06-20 21:37:23,234.11,已完成,飞利浦（PHILIPS）LED吸顶灯卧室灯书房客厅灯北欧奶油风灯具36W三色银边绵玥
297494985513,2024-06-20 09:57:26,56.43,已完成,博世（BOSCH）活性炭空调滤芯汽车空调滤清器5719适配雪佛兰赛欧乐风别克凯越等
297483774274,2024-06-20 09:56:28,29.23,已完成,博世（BOSCH）空气滤芯空滤清器格2862适配宝骏610/630/别克凯越等
297441769409,2024-06-19 10:56:20,347.26,已完成,漫步者（EDIFIER）D12 2.0声道 一体式桌面立体声音响音箱 木质电脑音响 蓝牙音箱
293956757590,2024-06-13 09:17:20,119.30,已完成,迪卡侬手表电子表W500学生轻盈马拉松跑步户外训练防水多功能 曜石黑
293778436501,2024-06-07 14:42:00,66.41,已完成,京鲜生 正宗无锡阳山水蜜桃10粒装 单果4-5两 水果桃子礼盒源头直发包邮
296125374628,2024-05-28 09:31:23,89.00,已完成,小米无线键鼠套装2 轻薄便携 全尺寸104键鼠套装 2.4G无线传输 键鼠套装 黑色 2
293024547421,2024-05-17 10:23:41,98.90,已完成,迪卡侬跟屁虫游泳浮标浮漂户外防溺水充气浮囊大浮力含内置口袋-2909250
292299955502,2024-04-17 10:25:43,119.90,已完成,迪卡侬手表电子表W500学生轻盈马拉松跑步户外训练防水多功能 曜石黑
292171446563,2024-04-12 11:33:26,50.15,已完成,英发（YINGFA）英发游泳浮板专业训练八字板成人儿童初学者自由泳仰泳夹腿打水板 A012-1红色
291378451353,2024-04-08 12:42:31,34.99,已完成,吉列 威锋剃须刀刮胡刀组合超值装（1手动剃须刀+1剃须泡沫50g） 1个/套
289995667176,2024-02-14 09:35:23,45.90,已完成,ANKER安克 MFi认证苹果数据线2.4A适用苹果14/13Pro Max/iPad手机充电器数据线USB转Lighting 0.9m黑
285033671222,2024-01-02 22:20:26,98.30,已完成,ANKER安克苹果充电器PD20W快充充电头Type-C 适用iPhone16ProMax/15plus/14/13/12/11/华为/小米手机黑
