订单号,下单时间,订单总价,订单状态,商品名称
310483623789,2025-02-21 10:10:44,14.62,已完成,licheers 儿童牙刷1-3-6岁宝宝牙刷超细万毛软刷婴幼儿乳牙刷 两只装
310038127904,2025-02-10 23:55:22,62.99,已完成,儒意（RUYI）淡纹眼霜30g淡化细纹眼纹抗皱提拉紧致黑眼圈祛眼袋胖东来抗衰老
310033446563,2025-02-10 23:55:22,29.90,已完成,南世椰香 椰子油1000ml 天然冷压榨椰子油食用油可炒菜烘焙饮食漱口
309785242380,2025-02-06 19:31:58,61.90,已完成,爱酷熊（AIKUUBEAR）全包臀弱酸奇遇拉拉裤XXXL56片敏感肌适用学步裤超薄透气尿不湿
309314534206,2025-02-01 21:50:37,12.74,已完成,五羊（FIVERAMS）拉拉裤薄薄芯成长裤XL20片(12-17kg)婴儿尿不湿超薄透气不闷便携
309594207087,2025-02-01 21:48:37,5.84,已完成,三只小猪（The three piggy）柔软之星婴儿夜用安睡拉拉裤XL码10片(12-17KG) 泡泡腰围花苞裤
309145860214,2025-01-29 14:47:08,60.27,已完成,爱酷熊（AIKUUBEAR）畅吸拉拉裤XXXL80全包臀婴儿男女通用超薄透气尿不湿（16-18kg）
309542728326,2025-01-27 22:03:27,,,
309122307668,2025-01-27 22:03:25,183.00,已完成,semmook轻便溜娃神器婴儿推车口袋推车可登飞机旅行车遛娃神器一键收车 星耀黑
309251543250,2025-01-27 09:26:51,84.55,已完成,巴布豆学步鞋春秋男宝毛毛虫防滑透气儿童机能鞋男女童贝壳粉24码
309197027551,2025-01-26 19:32:10,24.70,已完成,天喜（TIANXI）红酒杯高脚杯 家用水晶玻璃杯 葡萄酒杯勃艮第酒杯酒具套装2只装
309454116193,2025-01-25 20:13:30,9.85,已完成,ALittleFlower适用于苹果12/12Pro钢化膜iPhone12/12pro手机膜防摔抗指纹超薄高清全屏全覆盖贴膜加强版2片
308886789718,2025-01-21 17:50:07,9.41,已完成,梦庭 懒人抹布20条抽取式抹布吸水超细纤维一次性百洁布 蓝色
308967347963,2025-01-21 07:55:18,78.50,已完成,ABC卫生巾 迷你卫生巾瞬吸云棉0.1极薄棉柔 干爽轻薄190mm*8片
308922379229,2025-01-20 01:34:08,3.50,已完成,双面双效气垫粉扑干湿两用不吃粉海绵定妆粉饼散粉服帖化妆粉底液 颜色随机5个【盒装】 5个
309128364171,2025-01-20 01:31:18,3.49,已完成,【精准遮瑕】手指粉扑指尖气垫迷你超软干湿两用不吃粉便携 颜色款式随机 10个
309062093135,2025-01-20 01:30:12,14.16,已完成,琴朵洋甘菊护手霜防干裂秋冬滋润保湿小甘菊小雏菊手膜润手霜3支240g
309117686691,2025-01-20 01:29:46,11.16,已完成,TWG白凡士林倍护膏手足干裂润肤霜脚后跟干裂防裂护手霜身体乳去死皮
308815586647,2025-01-20 01:26:58,7.91,已完成,粉刺针去黑头细胞夹套装祛痘暗疮针镊子挤痘痘挑痘美容院清洁工具 粉刺针套装带盒 6件 件套【专业全能套装】
308907775696,2025-01-18 20:06:13,28.41,已完成,潘婷发膜氨基酸乳液修护270G养发柔顺免蒸发膜
309054172906,2025-01-18 20:03:42,71.72,已完成,强生（Johnson）婴儿身体乳 儿童保湿乳霜男女士滋润补水 牛奶奶香润肤露500g*2
308987628302,2025-01-18 19:58:58,16.83,已完成,德力普（Delipow）充电电池 5号电池6节装 适用玩具/遥控器/电动牙刷/鼠标键盘等
308957525953,2025-01-17 10:24:15,4.34,已完成,2024年新版 广州CITY城市地图（广东省广州市交通旅游地图 广州游览图 广州城区地图） 自驾游旅行“急救包”环保材质
308954371969,2025-01-17 09:24:20,24.89,已完成,清风抽纸24包100抽3层原木就你立体纸巾幸运草餐巾纸抽婴儿适用 3层100抽24包
308902324736,2025-01-16 10:28:37,29.89,已完成,双盟 绿萝盆栽除甲醛花卉绿植办公室新房净化空气110款10盆装源头直发
304533895132,2025-01-13 10:14:58,74.90,已完成,北京稻香村蛋糕软糕点礼盒1100g北京特产点心节日送礼团购休闲零食品 三禾软糕点礼盒+手提袋
304437737398,2025-01-13 10:14:58,84.99,已完成,稻香村糕点礼盒桃花酥枣花酥点心礼盒小吃零食大礼包福利团购送礼1050g 稻香臻选【24饼9味】三层
304437737366,2025-01-13 10:14:58,26.63,已完成,稻香村（DXC）特色糕点 休闲点心 零食饼干 中华老字号 花生仁桃酥500g(盒装)
308671579439,2025-01-13 09:58:07,361.00,已完成,五粮液股份 百鸟朝凤红礼浓香型白酒礼盒52度500ml*2瓶节日送礼宴请酒水
304515694608,2025-01-11 10:46:02,14.66,已完成,尚烤佳 冰糖葫芦签子 竹签 水果签子 关东煮签 烧烤签 儿童可爱卡通竹签 50只
308574200684,2025-01-11 10:36:20,42.89,已完成,好奇（Huggies）金装云感裤拉拉裤婴儿尿不湿超薄成长裤新生儿宝宝瞬吸干爽学步裤 3XL 1包 26片 【17kg以上】
308569280527,2025-01-11 10:36:20,9.90,已完成,益初婴儿柔纸巾宝宝抽纸保湿乳霜纸品质纸巾 3层 40抽*10包
308510410287,2025-01-10 08:51:10,15.68,已完成,登比铝箔厨房贴纸橱柜墙面家具翻新贴防水防油爵士白60*500cm
308502751784,2025-01-08 19:34:43,111.95,已完成,爱酷熊（AIKUUBEAR）畅吸纸尿裤XXL88片尿不湿婴童加大码超薄大吸量男女通用国货精选
308435968525,2025-01-08 19:34:43,6.50,已完成,可心柔（COROU）柔纸巾抽纸保湿纸3层40抽*5包S码柔纸巾便携云柔巾
300753763545,2024-12-13 18:40:47,940.29,已完成,五粮液 普五八代 浓香型白酒 52度 500ml 单瓶 新老包装随机
300716464447,2024-12-13 12:20:28,72.42,已完成,嘉宝莉（CARPOLY）水性金属防盗门漆入户门改色漆防锈漆铁门翻新油漆菱花白 1KG
307019222214,2024-12-12 21:45:43,59.29,已完成,爱酷熊（AIKUUBEAR）畅吸拉拉裤XXXL80全包臀婴儿男女通用超薄透气尿不湿（16-18kg）
306634873220,2024-12-05 10:26:06,31.16,已完成,爱宝适婴儿学步带防走失牵引绳安全防勒四季通用透气款 樱花粉 S360
300280734269,2024-11-29 19:46:03,27.60,已完成,南同四海 贝母 搭四川贝母中药正宗川贝母野外生川贝母特级川贝母平贝母浙贝母藏贝母止煲汤磨粉咳
306278178794,2024-11-27 11:08:40,117.42,已完成,爱酷熊（AIKUUBEAR）畅吸纸尿裤XL92片尿不湿婴童加大码超薄大吸量男女通用国货精选
299912463478,2024-11-20 10:05:25,59.29,已完成,九洲鹿 枕头枕芯 印花磁石立体决明子枕头颈椎枕 花草枕颈椎枕芯 单只装
299833776445,2024-11-14 10:20:54,18.41,已完成,杰威尔男士哑光塑型发泥蓬松自然强力定型发膏发蜡发胶清爽持久造型80g
299352992276,2024-11-07 08:18:59,86.86,已完成,潘婷3分钟奇迹护发素40ml-买【回购券】送尝鲜装
305124839584,2024-11-07 08:14:24,10.82,已完成,licheers婴儿口腔清洁棒牙刷新生儿0-1岁舌苔清洁器宝宝漱口纱布棉棒30支
299115203674,2024-10-30 18:13:50,28.74,已完成,维达（Vinda）抽纸细韧3层100抽24包 抽纸餐巾纸卫生纸 整箱
