id,amount,payee,category,description,account_type,payment_type,consumer,flow_type,tag,abc_type,cost_type,trans_time,creation_time,modification_time
1,16,,"[10000,10004]","益阳伍阿姨麻辣烫,收钱码收款","2","1","3","1","2",,"3","2021-11-30 11:46:15","2025-03-04 02:29:20","2025-03-04 02:29:20"
2,12,,"[10000,10004]","苏食记麻辣烫,收钱码收款","2","1","3","1","2",,"3","2021-11-30 11:34:16","2025-03-04 02:29:20","2025-03-04 02:29:20"
3,2.8,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:49:19","2025-03-04 02:29:20","2025-03-04 02:29:20"
4,15,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:46:15","2025-03-04 02:29:20","2025-03-04 02:29:20"
5,9.8,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:38:17","2025-03-04 02:29:20","2025-03-04 02:29:20"
6,1,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:36:11","2025-03-04 02:29:20","2025-03-04 02:29:20"
7,4,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:35:14","2025-03-04 02:29:20","2025-03-04 02:29:20"
8,9,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:34:19","2025-03-04 02:29:20","2025-03-04 02:29:20"
9,7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:30:32","2025-03-04 02:29:20","2025-03-04 02:29:20"
10,30,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:29:14","2025-03-04 02:29:20","2025-03-04 02:29:20"
11,4.4,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:27:57","2025-03-04 02:29:20","2025-03-04 02:29:20"
12,7.9,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:26:22","2025-03-04 02:29:20","2025-03-04 02:29:20"
13,1.4,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:25:04","2025-03-04 02:29:20","2025-03-04 02:29:20"
14,11,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:21:46","2025-03-04 02:29:20","2025-03-04 02:29:20"
15,15,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:19:25","2025-03-04 02:29:20","2025-03-04 02:29:20"
16,16.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:15:24","2025-03-04 02:29:20","2025-03-04 02:29:20"
17,44,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:13:05","2025-03-04 02:29:20","2025-03-04 02:29:20"
18,73,,"[90000,90001]","拼多多平台商户,商户单号XP1521112922501710698260000730","2","1","2","1","2",,"2","2021-11-29 14:34:30","2025-03-04 02:29:20","2025-03-04 02:29:20"
19,60.7,,"[10000,10004]","饿了么,周黑鸭(长沙凯德壹中心店)外卖订单","2","1","3","1","2",,"3","2021-11-29 11:44:33","2025-03-04 02:29:20","2025-03-04 02:29:20"
20,19.9,,"[50000,50004]","fertig旗舰店,Fertig洗碗机专用洗碗盐1kg软水盐洗涤粉剂 软水预防水垢","2","1","3","1","3",,"1","2021-11-29 10:48:17","2025-03-04 02:29:20","2025-03-04 02:29:20"
21,521.8,,"[50000,50001]","巴拉巴拉官方旗舰,【火拼价】巴拉巴拉童装男童毛衣针织打底衫儿童童装秋冬2021新款民族风设计 等多件","2","1","4","1","2",,"1","2021-11-29 18:46:18","2025-03-04 02:29:20","2025-03-04 02:29:20"
22,8,,"[10000,10004]","糯米果,收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:15:07","2025-03-04 02:29:20","2025-03-04 02:29:20"
23,10,,"[10000,10004]","长沙臭豆腐,收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:10:38","2025-03-04 02:29:20","2025-03-04 02:29:20"
24,11,,"[10000,10004]","益阳伍阿姨麻辣烫,收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:02:49","2025-03-04 02:29:20","2025-03-04 02:29:20"
25,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 11:44:40","2025-03-04 02:29:20","2025-03-04 02:29:20"
26,89.8,,"[10000,10002]","沃尔玛购物广场长沙观沙路店,超市商品","2","1","3","1","1",,"1","2021-11-27 11:19:11","2025-03-04 02:29:20","2025-03-04 02:29:20"
27,23,,"[10000,10004]","长沙市远觉饮品有限公司,二维码支付","2","1","3","1","2",,"3","2021-11-27 10:49:32","2025-03-04 02:29:20","2025-03-04 02:29:20"
28,20,,"[100000,100003]",",淘宝现金红包提现","2","1","2","2","",,"1","2021-11-27 04:31:47","2025-03-04 02:29:20","2025-03-04 02:29:20"
29,23.76,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:31:51","2025-03-04 02:29:20","2025-03-04 02:29:20"
30,40,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:28:04","2025-03-04 02:29:20","2025-03-04 02:29:20"
31,5.3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:25:07","2025-03-04 02:29:20","2025-03-04 02:29:20"
32,18,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:19:40","2025-03-04 02:29:20","2025-03-04 02:29:20"
33,2,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:16:50","2025-03-04 02:29:20","2025-03-04 02:29:20"
34,8.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:14:30","2025-03-04 02:29:20","2025-03-04 02:29:20"
35,16.6,,"[10000,10004]","饿了么,胖子饿了(24品店)外卖订单","2","1","3","1","2",,"3","2021-11-26 06:21:23","2025-03-04 02:29:20","2025-03-04 02:29:20"
36,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-25 11:25:49","2025-03-04 02:29:20","2025-03-04 02:29:20"
37,9,,"[10000,10004]","胖子饿了长沙市府24品商场店,胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-25 11:02:33","2025-03-04 02:29:20","2025-03-04 02:29:20"
38,18.6,,"[10000,10004]","饿了么,茶颜悦色(24品四楼欢喜店)外卖订单","2","1","3","1","2",,"3","2021-11-25 04:57:36","2025-03-04 02:29:20","2025-03-04 02:29:20"
39,28.8,,"[10000,10004]","赛香西饼(十二店),烘焙产品（赛香恒大店）","2","1","4","1","2",,"3","2021-11-25 02:06:56","2025-03-04 02:29:20","2025-03-04 02:29:20"
40,10.5,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:18:08","2025-03-04 02:29:20","2025-03-04 02:29:20"
41,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:13:35","2025-03-04 02:29:20","2025-03-04 02:29:20"
42,5.2,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:12:26","2025-03-04 02:29:20","2025-03-04 02:29:20"
43,12,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:11:40","2025-03-04 02:29:20","2025-03-04 02:29:20"
44,9,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:08:47","2025-03-04 02:29:20","2025-03-04 02:29:20"
