id,amount,payee,category,description,account_type,payment_type,consumer,flow_type,tag,abc_type,cost_type,trans_time,creation_time,modification_time
33802,16,,"[10000,10004]","益阳伍阿姨麻辣烫,收钱码收款","2","1","3","1","2",,"3","2021-11-30 11:46:15","2025-03-24 02:08:35","2025-03-24 02:08:35"
33803,12,,"[10000,10004]","苏食记麻辣烫,收钱码收款","2","1","3","1","2",,"3","2021-11-30 11:34:16","2025-03-24 02:08:35","2025-03-24 02:08:35"
33804,2.8,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:49:19","2025-03-24 02:08:35","2025-03-24 02:08:35"
33805,15,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:46:15","2025-03-24 02:08:35","2025-03-24 02:08:35"
33806,9.8,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:38:17","2025-03-24 02:08:35","2025-03-24 02:08:35"
33807,1,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:36:11","2025-03-24 02:08:35","2025-03-24 02:08:35"
33808,4,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:35:14","2025-03-24 02:08:35","2025-03-24 02:08:35"
33809,9,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:34:19","2025-03-24 02:08:35","2025-03-24 02:08:35"
33810,7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:30:32","2025-03-24 02:08:35","2025-03-24 02:08:35"
33811,30,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:29:14","2025-03-24 02:08:35","2025-03-24 02:08:35"
33812,4.4,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:27:57","2025-03-24 02:08:35","2025-03-24 02:08:35"
33813,7.9,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:26:22","2025-03-24 02:08:35","2025-03-24 02:08:35"
33814,1.4,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:25:04","2025-03-24 02:08:35","2025-03-24 02:08:35"
33815,11,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:21:46","2025-03-24 02:08:35","2025-03-24 02:08:35"
33816,15,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:19:25","2025-03-24 02:08:35","2025-03-24 02:08:35"
33817,16.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:15:24","2025-03-24 02:08:35","2025-03-24 02:08:35"
33818,44,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-30 01:13:05","2025-03-24 02:08:35","2025-03-24 02:08:35"
33819,73,"拼多多","[90000,90001]","宝宝洞洞推拉书儿童3D立体机关洞洞书3-6岁认知早教益智启蒙书","2","1","2","1","2",,"2","2021-11-29 14:34:30","2025-03-24 02:08:35","2025-03-24 02:08:35"
33820,60.7,,"[10000,10004]","饿了么,周黑鸭(长沙凯德壹中心店)外卖订单","2","1","3","1","2",,"3","2021-11-29 11:44:33","2025-03-24 02:08:35","2025-03-24 02:08:35"
33821,19.9,,"[50000,50004]","fertig旗舰店,Fertig洗碗机专用洗碗盐1kg软水盐洗涤粉剂 软水预防水垢","2","1","3","1","3",,"1","2021-11-29 10:48:17","2025-03-24 02:08:35","2025-03-24 02:08:35"
33822,521.8,,"[50000,50001]","巴拉巴拉官方旗舰,【火拼价】巴拉巴拉童装男童毛衣针织打底衫儿童童装秋冬2021新款民族风设计 等多件","2","1","4","1","2",,"1","2021-11-29 18:46:18","2025-03-24 02:08:35","2025-03-24 02:08:35"
33823,8,,"[10000,10004]","糯米果,收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:15:07","2025-03-24 02:08:35","2025-03-24 02:08:35"
33824,10,,"[10000,10004]","长沙臭豆腐,收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:10:38","2025-03-24 02:08:35","2025-03-24 02:08:35"
33825,11,,"[10000,10004]","益阳伍阿姨麻辣烫,收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:02:49","2025-03-24 02:08:35","2025-03-24 02:08:35"
33826,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 11:44:40","2025-03-24 02:08:35","2025-03-24 02:08:35"
33827,89.8,,"[10000,10002]","沃尔玛购物广场长沙观沙路店,超市商品","2","1","3","1","1",,"1","2021-11-27 11:19:11","2025-03-24 02:08:35","2025-03-24 02:08:35"
33828,23,,"[10000,10004]","长沙市远觉饮品有限公司,二维码支付","2","1","3","1","2",,"3","2021-11-27 10:49:32","2025-03-24 02:08:35","2025-03-24 02:08:35"
33829,20,,"[100000,100003]",",淘宝现金红包提现","2","1","2","2","",,"1","2021-11-27 04:31:47","2025-03-24 02:08:35","2025-03-24 02:08:35"
33830,23.76,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:31:51","2025-03-24 02:08:35","2025-03-24 02:08:35"
33831,40,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:28:04","2025-03-24 02:08:35","2025-03-24 02:08:35"
33832,5.3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:25:07","2025-03-24 02:08:35","2025-03-24 02:08:35"
33833,18,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:19:40","2025-03-24 02:08:35","2025-03-24 02:08:35"
33834,2,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:16:50","2025-03-24 02:08:35","2025-03-24 02:08:35"
33835,8.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-27 02:14:30","2025-03-24 02:08:35","2025-03-24 02:08:35"
33836,16.6,,"[10000,10004]","饿了么,胖子饿了(24品店)外卖订单","2","1","3","1","2",,"3","2021-11-26 06:21:23","2025-03-24 02:08:35","2025-03-24 02:08:35"
33837,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-25 11:25:49","2025-03-24 02:08:35","2025-03-24 02:08:35"
33838,9,,"[10000,10004]","胖子饿了长沙市府24品商场店,胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-25 11:02:33","2025-03-24 02:08:35","2025-03-24 02:08:35"
33839,18.6,,"[10000,10007]","饿了么,茶颜悦色(24品四楼欢喜店)外卖订单","2","1","","1","",,"3","2021-11-25 04:57:36","2025-03-24 02:08:35","2025-03-24 02:15:05"
33840,28.8,,"[10000,10004]","赛香西饼(十二店),烘焙产品（赛香恒大店）","2","1","4","1","2",,"3","2021-11-25 02:06:56","2025-03-24 02:08:35","2025-03-24 02:08:35"
33841,10.5,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:18:08","2025-03-24 02:08:35","2025-03-24 02:08:35"
33842,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:13:35","2025-03-24 02:08:35","2025-03-24 02:08:35"
33843,5.2,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:12:26","2025-03-24 02:08:35","2025-03-24 02:08:35"
33844,12,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:11:40","2025-03-24 02:08:35","2025-03-24 02:08:35"
33845,9,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:08:47","2025-03-24 02:08:35","2025-03-24 02:08:35"
33846,14,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:07:15","2025-03-24 02:08:35","2025-03-24 02:08:35"
33847,13.8,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:04:20","2025-03-24 02:08:35","2025-03-24 02:08:35"
33848,13,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-24 00:02:09","2025-03-24 02:08:35","2025-03-24 02:08:35"
33849,4.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 23:56:52","2025-03-24 02:08:35","2025-03-24 02:08:35"
33850,15,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 23:53:26","2025-03-24 02:08:35","2025-03-24 02:08:35"
33851,11,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 23:47:59","2025-03-24 02:08:35","2025-03-24 02:08:35"
33852,43,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 23:46:13","2025-03-24 02:08:35","2025-03-24 02:08:35"
33853,58,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 23:43:53","2025-03-24 02:08:35","2025-03-24 02:08:35"
33854,150,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 23:38:42","2025-03-24 02:08:35","2025-03-24 02:08:35"
33855,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-23 11:44:48","2025-03-24 02:08:35","2025-03-24 02:08:35"
33856,9,,"[10000,10004]","胖子饿了长沙市府24品商场店,胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-23 11:23:32","2025-03-24 02:08:35","2025-03-24 02:08:35"
33857,68,,"[90000,90001]","神牛影智专卖店,背景架横杆伸缩杆 3米背景支架背景布纸可调节横臂悬架摄影棚附件","2","1","2","1","2",,"2","2021-11-23 07:01:57","2025-03-24 02:08:35","2025-03-24 02:08:35"
33858,99,,"[90000,90001]","劲游旗舰店,单色背景纸纯色背景布影楼淘宝网店拍照摄影拍摄拍图背景白色黑色","2","1","2","1","2",,"2","2021-11-23 07:01:19","2025-03-24 02:08:35","2025-03-24 02:08:35"
33859,9,,"[10000,10004]","胖子饿了长沙市府24品商场店,胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-22 11:31:40","2025-03-24 02:08:35","2025-03-24 02:08:35"
33860,78.2,,"[10000,10002]","沃尔玛购物广场长沙观沙路店,超市商品","2","1","3","1","1",,"1","2021-11-22 11:28:07","2025-03-24 02:08:35","2025-03-24 02:08:35"
33861,13,,"[10000,10004]","长沙市远觉饮品有限公司,二维码支付","2","1","3","1","2",,"3","2021-11-22 10:57:40","2025-03-24 02:08:35","2025-03-24 02:08:35"
33862,15,,"[100000,100003]",",淘宝现金红包提现","2","1","2","2","",,"1","2021-11-20 05:50:35","2025-03-24 02:08:35","2025-03-24 02:08:35"
33863,2,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:51:50","2025-03-24 02:08:35","2025-03-24 02:08:35"
33864,3,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:51:24","2025-03-24 02:08:35","2025-03-24 02:08:35"
33865,47,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:47:53","2025-03-24 02:08:35","2025-03-24 02:08:35"
33866,22,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:44:01","2025-03-24 02:08:35","2025-03-24 02:08:35"
33867,7.5,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:41:41","2025-03-24 02:08:35","2025-03-24 02:08:35"
33868,32,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:36:47","2025-03-24 02:08:35","2025-03-24 02:08:35"
33869,2.6,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:26:26","2025-03-24 02:08:35","2025-03-24 02:08:35"
33870,16.5,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:25:06","2025-03-24 02:08:35","2025-03-24 02:08:35"
33871,3.5,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:21:06","2025-03-24 02:08:35","2025-03-24 02:08:35"
33872,4.6,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:19:40","2025-03-24 02:08:35","2025-03-24 02:08:35"
33873,16.8,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:17:22","2025-03-24 02:08:35","2025-03-24 02:08:35"
33874,3.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:14:34","2025-03-24 02:08:35","2025-03-24 02:08:35"
33875,18,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:11:49","2025-03-24 02:08:35","2025-03-24 02:08:35"
33876,21.7,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:09:21","2025-03-24 02:08:35","2025-03-24 02:08:35"
33877,15.6,,"[10000,10001]","Jackfrank,亲情卡","2","1","3","1","1",,"1","2021-11-20 01:01:55","2025-03-24 02:08:35","2025-03-24 02:08:35"
33878,6,,"[10000,10004]","星巴克(24品购物中心店),湖北星巴克咖啡有限公司","2","1","3","1","2",,"3","2021-11-18 11:13:30","2025-03-24 02:08:35","2025-03-24 02:08:35"
33879,28.55,,"[10000,10002]","沃尔玛购物广场长沙观沙路店,超市商品","2","1","3","1","1",,"1","2021-11-18 11:01:13","2025-03-24 02:08:35","2025-03-24 02:08:35"
33880,68.8,"京东","[90000,90001]","VEZO【联赛推荐】手机散热器半导体制冷直播降温吃鸡神器王者荣耀适用苹果小米华为黑鲨红魔冰封背夹 【直播散热款】双核制冷｜秒速降温｜带直播孔","2","1","2","1","2",,"2","2021-11-17 08:40:23","2025-03-24 02:08:35","2025-03-24 02:08:35"
33881,30,"拼多多","[90000,90001]","【升级版】点读版小猪佩奇台词本剧本字幕本粉猪大字版贴纸120g纸","2","1","2","1","2",,"2","2021-11-16 02:49:14","2025-03-24 02:08:35","2025-03-24 02:08:35"
33882,25.8,"拼多多","[90000,90001]","幸福玛丽儿童男童女童棉鞋子秋冬婴儿鞋冬加绒儿童棉拖鞋包跟女童","2","1","2","1","2",,"2","2021-11-16 02:27:31","2025-03-24 02:08:35","2025-03-24 02:08:35"
