id,name,rule,category,consumer,tag,active,priority,creation_time,modification_time
1,"规则_1","[[{""condition"":""description"",""formula"":""like"",""value"":""亲情卡|豆腐|猪肉|蔬菜|野山椒|王守义|土豆粉|东北大米|孙明美|味为天|生鲜批发|虾米|锦尚生鲜|毛阿子|叶慧琴菜店|正宗散养土鸡|任氏海鲜|沅陵民富土鸡店|陈玉平肉铺|莲藕""}],[{""condition"":""payee"",""formula"":""like"",""value"":""亲情卡|豆腐|猪肉|蔬菜|野山椒|王守义|土豆粉|东北大米|孙明美|味为天|生鲜批发|虾米|锦尚生鲜|毛阿子|叶慧琴菜店|正宗散养土鸡|任氏海鲜|沅陵民富土鸡店|陈玉平肉铺|莲藕""}]]","[10000,10001]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
2,"零食小吃1","[[{""condition"":""description"",""formula"":""like"",""value"":""臭豆腐|搜农坊|便利店|星巴克|良品铺子|啤酒|唛咭食品|饮品|冰淇淋|麻辣烫|火鸡面|劲仔小鱼|泡面|糯米果|绝味鸭脖|过桥米线|黑白电视|食品商店|Lawson|几个果子|食品店|冰棒批发|湘西姑娘|千惠|每日坚果孕|周黑鸭|李萍|瓦罗兰大陆伏尔加沿岸|汇米巴|新宜佳|美宜家|辉辉小卖部|深圳市丰宜科技有限公司|罗森尼娜| 墨茉点心局|正新炸鸡|仟吉|DQ|明记甜品|甜品|蛋糕|金粒门""}],[{""condition"":""payee"",""formula"":""like"",""value"":""臭豆腐|搜农坊|便利店|星巴克|良品铺子|啤酒|唛咭食品|饮品|冰淇淋|麻辣烫|火鸡面|劲仔小鱼|泡面|糯米果|绝味鸭脖|过桥米线|黑白电视|食品商店|Lawson|几个果子|食品店|冰棒批发|湘西姑娘|千惠|每日坚果孕|周黑鸭|李萍|瓦罗兰大陆伏尔加沿岸|汇米巴|新宜佳|美宜家|辉辉小卖部|深圳市丰宜科技有限公司|罗森尼娜| 墨茉点心局|正新炸鸡|仟吉|DQ|明记甜品|甜品|蛋糕|金粒门""}]]","[10000,10004]","","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
3,"水果","[[{""condition"":""description"",""formula"":""like"",""value"":""水果|欧阳春香|小蜜蜂鲜果|果林鲜森|乐优鲜果|百果香|花姑娘|刘月英|猕猴桃""}],[{""condition"":""payee"",""formula"":""like"",""value"":""水果|欧阳春香|小蜜蜂鲜果|果林鲜森|乐优鲜果|百果香|花姑娘|刘月英|猕猴桃""}]]","[10000,10003]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
4,"老公工作餐规则","[[{""condition"":""description"",""formula"":""like"",""value"":""王姐粉面店|北方烤饼|小镇来客手工面粉|常德米粉|粉店|粉铺|粉馆|里手馄饨|土家酱香饼|早点|肉夹馍|津市牛肉粉|老姐休闲餐吧创谷店|自选快餐|毛市佬创谷店|兰州拉面|猪脚饭|包子铺|罗义德长沙谷苑路店|金牌隆江猪脚饭|香他她煲仔|德天顺盖码饭|烧腊|东北人饺子|膳当家|马里奥饼店|江湖杀猪粉|吃饭就来|阴洪梅饺子馆|刘长和麓谷信息|袁记云饺|莫先生|蒸菜|三津汤包|兰州拉面|饺子馆|大米先生|老爸到了|廖可|老粉匠荣盛店|五谷杂粮粥|纯蒸时代|沙县小吃|长沙尊之客餐|永善18697210073""},{""condition"":""account_type"",""formula"":""eq"",""value"":1}],[{""condition"":""payee"",""formula"":""like"",""value"":""王姐粉面店|北方烤饼|小镇来客手工面粉|常德米粉|粉店|粉铺|粉馆|里手馄饨|土家酱香饼|早点|肉夹馍|津市牛肉粉|老姐休闲餐吧创谷店|自选快餐|毛市佬创谷店|兰州拉面|猪脚饭|包子铺|罗义德长沙谷苑路店|金牌隆江猪脚饭|香他她煲仔|德天顺盖码饭|烧腊|东北人饺子|膳当家|马里奥饼店|江湖杀猪粉|吃饭就来|阴洪梅饺子馆|刘长和麓谷信息|袁记云饺|莫先生|蒸菜|三津汤包|兰州拉面|饺子馆|大米先生|老爸到了|五谷杂粮粥|纯蒸时代|沙县小吃|长沙尊之客餐|永善18697210073|老粉匠|珍珍""},{""condition"":""account_type"",""formula"":""eq"",""value"":1}]]","[10000,10005]","","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
5,"规则_5","[[{""condition"":""description"",""formula"":""like"",""value"":""美容美发""}],[{""condition"":""payee"",""formula"":""like"",""value"":""美容美发""}]]","[20000,20006]","","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
6,"超市","[[{""condition"":""description"",""formula"":""like"",""value"":""沃尔玛|麦德龙|家润多|山姆会员商店|盒马|温尔登|沃尔玛|麦德龙|家乐福|山姆会员店""}],[{""condition"":""payee"",""formula"":""like"",""value"":""沃尔玛|麦德龙|家润多|山姆会员商店|盒马|沃尔玛|麦德龙|家乐福|山姆会员店|长沙温尔登观沙商贸有限公司""}]]","[10000,10002]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
7,"下馆子直接买单","[[{""condition"":""description"",""formula"":""like"",""value"":""肯德基|湘高记海鲜|海底捞|诚食家厨|鲜芋仙|餐馆|东北饺子馆|必胜客|夏日玛莉|炊烟小炒黄牛肉|双燕楼""}],[{""condition"":""payee"",""formula"":""like"",""value"":""肯德基|湘高记海鲜|海底捞|诚食家厨|鲜芋仙|餐馆|东北饺子馆|必胜客|夏日玛莉|炊烟小炒黄牛肉|双燕楼""}]]","[10000,10006]","3","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
8,"规则_8","[[{""condition"":""description"",""formula"":""like"",""value"":""话费|手机充值|中国移动""}],[{""condition"":""payee"",""formula"":""like"",""value"":""话费|手机充值|中国移动""}]]","[20000,20007]","","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
9,"规则_9","[[{""condition"":""description"",""formula"":""like"",""value"":""牛晓红|牛柏红|大姨|牛玉海""}],[{""condition"":""payee"",""formula"":""like"",""value"":""牛晓红|牛柏红|大姨|牛玉海""}]]","[60000,60003]","7","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
10,"规则_10","[[{""condition"":""description"",""formula"":""like"",""value"":""尿不湿""}],[{""condition"":""payee"",""formula"":""like"",""value"":""尿不湿""}]]","[50000,50007]","6","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
11,"规则_11","[[{""condition"":""description"",""formula"":""like"",""value"":""滴滴出行|智慧出行|高德打车|出租|滴滴打车""}],[{""condition"":""payee"",""formula"":""like"",""value"":""滴滴出行|智慧出行|高德打车|出租|滴滴打车""}]]","[30000,30003]","","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
12,"规则_12","[[{""condition"":""description"",""formula"":""like"",""value"":""摄影|相机|佳能""}],[{""condition"":""payee"",""formula"":""like"",""value"":""摄影|相机|佳能""}]]","[90000,90001]","null","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
13,"规则_13","[[{""condition"":""description"",""formula"":""like"",""value"":""长沙公交|地铁|哈啰出行|摩拜单车|公共交通""}],[{""condition"":""payee"",""formula"":""like"",""value"":""长沙公交|地铁|哈啰出行|摩拜单车|公共交通""}]]","[30000,30002]","","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
14,"规则_14","[[{""condition"":""description"",""formula"":""like"",""value"":""塑料袋|湿厕纸|洁柔|垃圾袋|消毒液|立邦|卫生纸|佳洁士|牙膏|科沃斯|义乌百货|毛巾|蓝月亮洗衣液|洗衣液|洗碗机|洗发|封口贴纸|圆贴强粘""}],[{""condition"":""payee"",""formula"":""like"",""value"":""塑料袋|湿厕纸|洁柔|垃圾袋|消毒液|立邦|卫生纸|佳洁士|牙膏|科沃斯|义乌百货|毛巾|蓝月亮洗衣液|洗衣液|洗碗机|洗发|封口贴纸|圆贴强粘""}]]","[50000,50002]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
15,"规则_15","[[{""condition"":""description"",""formula"":""like"",""value"":""施华蔻|姨妈巾|美白丸|雅诗兰黛|面膜|兰蔻|兰芝|雅诗兰黛|眉笔|卸妆棉|洁面仪|粉底液|睫毛|口红|裸妆|化妆|欧莱雅""}],[{""condition"":""payee"",""formula"":""like"",""value"":""施华蔻|姨妈巾|美白丸|雅诗兰黛|面膜|兰蔻|兰芝|雅诗兰黛|眉笔|卸妆棉|洁面仪|粉底液|睫毛|口红|裸妆|化妆|欧莱雅""}]]","[50000,50005]","2","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
16,"规则_16","[[{""condition"":""description"",""formula"":""like"",""value"":""宠物用品|小狗|狗粮|动物医院|宠物""}],[{""condition"":""payee"",""formula"":""like"",""value"":""宠物用品|小狗|狗粮|动物医院|宠物""}]]","[50000,50006]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
17,"规则_17","[[{""condition"":""description"",""formula"":""like"",""value"":""童泰|尼多熊|babylove|巴拉巴拉""}],[{""condition"":""payee"",""formula"":""like"",""value"":""童泰|尼多熊|babylove|巴拉巴拉""}]]","[50000,50001]","6","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
18,"规则_18","[[{""condition"":""description"",""formula"":""like"",""value"":""十月结晶""}],[{""condition"":""payee"",""formula"":""like"",""value"":""十月结晶""}]]","[50000,50002]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
19,"规则_19","[[{""condition"":""description"",""formula"":""like"",""value"":""EMS邮费|寄件费|顺丰|运费险|EMS|丰巢""}],[{""condition"":""payee"",""formula"":""like"",""value"":""EMS邮费|寄件费|顺丰|运费险|EMS|丰巢""}]]","[20000,20005]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
20,"规则_20","[[{""condition"":""description"",""formula"":""like"",""value"":""停车费|湘A1207|停车场|高速公路|湖南谋信物业服务有限公司|ETCP停车|停车缴费""}],[{""condition"":""payee"",""formula"":""like"",""value"":""停车费|湘A1207|停车场|高速公路|湖南谋信物业服务有限公司|ETCP停车|停车缴费""}]]","[30000,30005]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
21,"规则_21","[[{""condition"":""description"",""formula"":""like"",""value"":""第四医院|挂号|湘雅""}],[{""condition"":""payee"",""formula"":""like"",""value"":""第四医院|挂号|湘雅""}]]","[80000,80002]","","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
22,"规则_22","[[{""condition"":""description"",""formula"":""like"",""value"":""iPadPro|iPhone 12|数码|苹果充电线""}],[{""condition"":""payee"",""formula"":""like"",""value"":""iPadPro|iPhone 12|数码""}]]","[50000,50003]","","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
23,"规则_23","[[{""condition"":""description"",""formula"":""like"",""value"":""洗碗盐|厨房|苏泊尔|汤盘|调料|盘子""}],[{""condition"":""payee"",""formula"":""like"",""value"":""洗碗盐|厨房|苏泊尔|汤盘|调料|盘子""}]]","[50000,50004]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
24,"规则_24","[[{""condition"":""description"",""formula"":""like"",""value"":""长房物业|\t生活缴费""}],[{""condition"":""payee"",""formula"":""like"",""value"":""长房物业|\t生活缴费""}],[{""condition"":""payee"",""formula"":""eq"",""value"":""生活缴费""}]]","[20000,20002]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
25,"规则_25","[[{""condition"":""description"",""formula"":""like"",""value"":""卫生间|家具|绿植|装饰品|宜家|收纳|格力""}],[{""condition"":""payee"",""formula"":""like"",""value"":""卫生间|家具|绿植|装饰品|宜家|收纳|格力""}]]","[50000,50008]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
26,"爸爸妈妈衣服鞋帽","[[{""condition"":""description"",""formula"":""like"",""value"":""短袖|优衣库|棉袜|拖鞋|三枪|南极人|短裤|王府井购物中心|热风|袜子|胸罩|快团团""}],[{""condition"":""payee"",""formula"":""like"",""value"":""短袖|优衣库|棉袜|拖鞋|三枪|南极人|短裤|王府井购物中心|热风|袜子|胸罩|快团团""}]]","[50000,50001]","","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
27,"规则_27","[[{""condition"":""description"",""formula"":""like"",""value"":""大药房|医疗器械""}],[{""condition"":""payee"",""formula"":""like"",""value"":""大药房|医疗器械""}]]","[80000,80003]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
